Sequence,time,Left Wheel Reading,Right Wheel Reading
19244,0.0,0,0
19245,0.0,0,0
19246,0.0,0,0
19247,0.0,0,0
19248,0.1,0,3
19249,0.2,0,16
19250,0.30000000000000004,0,25
19251,0.4,0,34
19252,0.5,0,44
19253,0.6000000000000001,0,52
19254,0.7000000000000001,0,56
19255,0.8,0,57
19256,0.9,0,56
19257,1.0,0,56
19258,1.1,0,57
19259,1.2000000000000002,0,56
19260,1.3,0,56
19261,1.4000000000000001,0,56
19262,1.5,0,57
19263,1.6,0,56
19264,1.7000000000000002,0,57
19265,1.8,0,56
19266,1.9000000000000001,0,56
19267,2.0,0,56
19268,2.1,0,57
19269,2.2,0,56
19270,2.3000000000000003,0,56
19271,2.4000000000000004,0,56
19272,2.5,0,56
19273,2.6,0,56
19274,2.7,0,57
19275,2.8000000000000003,0,56
19276,2.9000000000000004,0,57
19277,3.0,0,57
19278,3.1,0,56
19279,3.2,0,56
19280,3.3000000000000003,0,57
19281,3.4000000000000004,0,56
19282,3.5,0,56
19283,3.6,0,56
19284,3.7,0,57
19285,3.8000000000000003,1,56
19286,3.9000000000000004,0,56
19287,4.0,0,56
19288,4.1000000000000005,1,56
19289,4.2,1,57
19290,4.3,0,56
19291,4.4,0,56
19292,4.5,0,56
19293,4.6000000000000005,0,56
19294,4.7,0,57
19295,4.800000000000001,0,56
19296,4.9,0,56
19297,5.0,0,56
19298,5.1000000000000005,0,57
19299,5.2,0,56
19300,5.300000000000001,0,56
19301,5.4,0,56
19302,5.5,0,57
19303,5.6000000000000005,0,56
19304,5.7,0,56
19305,5.800000000000001,0,56
19306,5.9,1,57
19307,6.0,0,56
19308,6.1000000000000005,0,56
19309,6.2,0,56
19310,6.300000000000001,0,56
19311,6.4,0,56
19312,6.5,0,56
19313,6.6000000000000005,0,56
19314,6.7,0,56
19315,6.800000000000001,0,56
19316,6.9,0,57
19317,7.0,0,56
19318,7.1000000000000005,0,56
19319,7.2,0,56
19320,7.300000000000001,0,56
19321,7.4,0,56
19322,7.5,0,56
19323,7.6000000000000005,0,56
19324,7.7,0,56
19325,7.800000000000001,0,56
19326,7.9,1,57
19327,8.0,1,55
19328,8.1,0,57
19329,8.200000000000001,0,55
19330,8.3,0,57
19331,8.4,0,55
19332,8.5,0,57
19333,8.6,0,55
19334,8.700000000000001,0,57
19335,8.8,0,56
19336,8.9,0,56
19337,9.0,0,56
19338,9.1,0,56
19339,9.200000000000001,0,56
19340,9.3,0,56
19341,9.4,1,57
19342,9.5,0,56
19343,9.600000000000001,0,56
19344,9.700000000000001,0,56
19345,9.8,0,56
19346,9.9,0,56
19347,10.0,0,56
19348,10.100000000000001,0,56
19349,10.200000000000001,0,56
19350,10.3,0,56
19351,10.4,0,56
19352,10.5,0,56
19353,10.600000000000001,0,56
19354,10.700000000000001,0,57
19355,10.8,0,56
19356,10.9,0,56
19357,11.0,0,56
19358,11.100000000000001,0,56
19359,11.200000000000001,0,56
19360,11.3,0,56
19361,11.4,0,56
19362,11.5,0,56
19363,11.600000000000001,0,57
19364,11.700000000000001,0,56
19365,11.8,0,56
19366,11.9,0,56
19367,12.0,0,56
19368,12.100000000000001,1,57
19369,12.200000000000001,0,56
19370,12.3,0,56
19371,12.4,0,56
19372,12.5,0,56
19373,12.600000000000001,0,56
19374,12.700000000000001,0,56
19375,12.8,0,56
19376,12.9,0,57
19377,13.0,0,56
19378,13.100000000000001,0,57
19379,13.200000000000001,0,56
19380,13.3,0,56
19381,13.4,0,57
19382,13.5,0,56
19383,13.600000000000001,0,56
19384,13.700000000000001,0,56
19385,13.8,0,57
19386,13.9,0,56
19387,14.0,0,56
19388,14.100000000000001,0,56
19389,14.200000000000001,0,56
19390,14.3,0,57
19391,14.4,0,56
19392,14.5,0,56
19393,14.600000000000001,0,56
19394,14.700000000000001,0,56
19395,14.8,0,56
19396,14.9,0,57
19397,15.0,0,56
