Sequence,time,Left Wheel Reading,Right Wheel Reading
16254,0.0,0,0
16255,0.0,0,0
16256,0.0,0,0
16257,0.0,0,0
16258,0.1,3,0
16259,0.2,11,0
16260,0.30000000000000004,22,0
16261,0.4,30,0
16262,0.5,40,0
16263,0.6000000000000001,50,0
16264,0.7000000000000001,54,0
16265,0.8,54,0
16266,0.9,54,0
16267,1.0,56,0
16268,1.1,56,0
16269,1.2000000000000002,55,0
16270,1.3,55,0
16271,1.4000000000000001,56,0
16272,1.5,56,0
16273,1.6,56,0
16274,1.7000000000000002,55,0
16275,1.8,54,0
16276,1.9000000000000001,54,0
16277,2.0,53,0
16278,2.1,53,0
16279,2.2,53,0
16280,2.3000000000000003,54,0
16281,2.4000000000000004,53,0
16282,2.5,54,0
16283,2.6,53,0
16284,2.7,55,0
16285,2.8000000000000003,54,0
16286,2.9000000000000004,54,0
16287,3.0,55,0
16288,3.1,55,0
16289,3.2,55,0
16290,3.3000000000000003,55,0
16291,3.4000000000000004,56,0
16292,3.5,55,0
16293,3.6,55,0
16294,3.7,55,0
16295,3.8000000000000003,54,0
16296,3.9000000000000004,54,0
16297,4.0,53,0
16298,4.1000000000000005,53,0
16299,4.2,52,0
16300,4.3,53,0
16301,4.4,54,0
16302,4.5,53,0
16303,4.6000000000000005,54,0
16304,4.7,54,0
16305,4.800000000000001,54,0
16306,4.9,54,0
16307,5.0,54,0
16308,5.1000000000000005,55,0
16309,5.2,56,0
16310,5.300000000000001,55,0
16311,5.4,55,0
16312,5.5,56,0
16313,5.6000000000000005,55,0
16314,5.7,56,0
16315,5.800000000000001,55,0
16316,5.9,54,0
16317,6.0,54,0
16318,6.1000000000000005,53,0
16319,6.2,53,0
16320,6.300000000000001,53,0
16321,6.4,53,0
16322,6.5,54,0
16323,6.6000000000000005,54,0
16324,6.7,54,0
16325,6.800000000000001,54,0
16326,6.9,55,0
16327,7.0,54,0
16328,7.1000000000000005,55,0
16329,7.2,55,0
16330,7.300000000000001,56,0
16331,7.4,56,0
16332,7.5,55,0
16333,7.6000000000000005,56,0
16334,7.7,56,0
16335,7.800000000000001,56,0
16336,7.9,54,0
16337,8.0,54,0
16338,8.1,54,0
16339,8.200000000000001,53,0
16340,8.3,53,0
16341,8.4,53,0
16342,8.5,53,0
16343,8.6,54,0
16344,8.700000000000001,54,0
16345,8.8,53,0
16346,8.9,55,0
16347,9.0,54,0
16348,9.1,55,0
16349,9.200000000000001,54,0
16350,9.3,56,0
16351,9.4,55,0
16352,9.5,55,0
16353,9.600000000000001,56,0
16354,9.700000000000001,55,0
16355,9.8,56,0
16356,9.9,55,0
16357,10.0,54,0
16358,10.100000000000001,54,0
16359,10.200000000000001,53,0
16360,10.3,53,0
16361,10.4,52,0
16362,10.5,53,0
16363,10.600000000000001,54,0
16364,10.700000000000001,54,0
16365,10.8,53,0
16366,10.9,55,0
16367,11.0,54,0
16368,11.100000000000001,55,0
16369,11.200000000000001,55,0
16370,11.3,55,0
16371,11.4,56,0
16372,11.5,55,0
16373,11.600000000000001,56,0
16374,11.700000000000001,56,0
16375,11.8,56,0
16376,11.9,56,0
16377,12.0,55,0
16378,12.100000000000001,54,0
16379,12.200000000000001,53,0
16380,12.3,54,0
16381,12.4,52,0
16382,12.5,54,0
16383,12.600000000000001,53,0
16384,12.700000000000001,54,0
16385,12.8,53,0
16386,12.9,55,0
16387,13.0,54,0
16388,13.100000000000001,55,0
16389,13.200000000000001,54,0
16390,13.3,55,0
16391,13.4,55,0
16392,13.5,55,0
16393,13.600000000000001,55,0
16394,13.700000000000001,56,0
16395,13.8,56,0
16396,13.9,56,0
16397,14.0,56,0
16398,14.100000000000001,55,0
16399,14.200000000000001,53,0
16400,14.3,53,0
16401,14.4,52,0
16402,14.5,53,0
16403,14.600000000000001,53,0
16404,14.700000000000001,53,0
16405,14.8,55,1
16406,14.9,53,0
16407,15.0,56,0
